Id,Label,timeset,modularity_class,componentnumber,strongcompnum,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,eigencentrality
paininmahballs2,paininmahballs2,,4,0,233,0.000128,2,54,56,2,97,99,6,0.340935,0.456299,0.001619,0.003855,0.132285,0.041414,0.016901
ThoughtsFromLee,ThoughtsFromLee,,4,0,267,0.000092,0,11,11,0,15,15,2,0.823529,0.892857,0,0,0.033274,0.027273,0
KarRuptAssassin,KarRuptAssassin,,4,0,268,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.004712,0,0
DoctorWhoFem4,DoctorWhoFem4,,4,0,269,0.000092,0,1,1,0,1,1,9,0.153925,0.175606,0,0,0.004624,0,0
thornyfuck,thornyfuck,,0,2,272,0.000092,0,2,2,0,2,2,1,1,1,0,0,0,0,0
ShireShitposter,ShireShitposter,,0,2,271,0.000131,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
clumsygf,clumsygf,,0,2,270,0.000131,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
StolenEyesX,StolenEyesX,,4,0,233,0.000116,3,17,20,3,20,23,6,0.308566,0.373913,0.000722,0.013192,0.076896,0.107895,0.010416
rugliabeoulve2,rugliabeoulve2,,4,0,233,0.007441,192,37,229,433,60,493,5,0.327851,0.412653,0.005602,0.289986,0.13199,0.015164,0.550609
Cerebrawl80,Cerebrawl80,,4,0,273,0.000092,0,3,3,0,3,3,4,0.419355,0.532051,0,0,0.031859,0,0
freshtake2018,freshtake2018,,4,0,282,0.000092,0,12,12,0,32,32,9,0.157949,0.201502,0,0,0.014755,0.037879,0
Sythenz,Sythenz,,4,0,281,0.000099,1,0,1,1,0,1,0,0,0,0,0.000602,0,0,0.001523
BenKuchera,BenKuchera,,4,0,280,0.000245,5,0,5,9,0,9,0,0,0,0,0.002886,0,0.1,0.008308
PoliticalGamer,PoliticalGamer,,4,0,279,0.000099,1,0,1,1,0,1,0,0,0,0,0.000602,0,0,0.001523
JoshOfSpam,JoshOfSpam,,165,0,289,0.000092,0,2,2,0,2,2,3,0.533333,0.604167,0,0,0.000739,0,0
CranBoonitz,CranBoonitz,,165,0,288,0.000312,5,5,10,5,6,11,2,0.857143,0.916667,0.000001,0.000061,0.000003,0.027778,0.00886
freedeinmarket,freedeinmarket,,4,0,290,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.003259,0,0
UltraHotTakes,UltraHotTakes,,4,0,79,0.00704,112,0,112,113,0,113,0,0,0,0,0.079939,0,0.001287,0.264573
