,A,Follows B,A_lat,A_lng,B_lat,B_lng,,user_screen_name,user_statuses_count,user_verified,lat,lng
255,HKesvani,MartinBelam,51.5073509,-0.1277583,NA,NA,,,,,,
256,MartinBelam,HKesvani,NA,NA,51.5073509,-0.1277583,,,,,,
257,RollingStone,HKesvani,40.7127753,-74.0059728,51.5073509,-0.1277583,,,,,,
258,ClaraJeffery,HKesvani,41.1398704,-112.0281318,51.5073509,-0.1277583,,,,,,
259,TheBeaverton,KikkiPlanet,54.5259614,-105.2551187,0,0,,,,,,
260,TheBeaverton,redlianak,54.5259614,-105.2551187,43.653226,-79.3831843,,,,,,
261,redlianak,TheBeaverton,43.653226,-79.3831843,54.5259614,-105.2551187,,,,,,
262,smenor,brockwilbur,33.791638,-84.389488,34.0485672,-118.2358691,,,,,,
263,brockwilbur,smenor,34.0485672,-118.2358691,33.791638,-84.389488,,,,,,
264,earleyedition,MartinBelam,-33.8688197,151.2092955,NA,NA,,,,,,
265,MartinBelam,earleyedition,NA,NA,-33.8688197,151.2092955,,,,,,
266,UnburntWitch,MartinBelam,38.898514,-77.010664,NA,NA,,,,,,
267,melsil,MartinBelam,0,0,NA,NA,,,,,,
268,ClaraJeffery,MartinBelam,41.1398704,-112.0281318,NA,NA,,,,,,
269,crecenteb,mistertodd,40.7127753,-74.0059728,-43.526192,172.630302,,,,,,
270,mistertodd,brockwilbur,-43.526192,172.630302,34.0485672,-118.2358691,,,,,,
271,brockwilbur,mistertodd,34.0485672,-118.2358691,-43.526192,172.630302,,,,,,
272,mistertodd,UnburntWitch,-43.526192,172.630302,38.898514,-77.010664,,,,,,
273,UnburntWitch,mistertodd,38.898514,-77.010664,-43.526192,172.630302,,,,,,
274,RollingStone,crecenteb,40.7127753,-74.0059728,40.7127753,-74.0059728,,,,,,
275,VentureBeat,crecenteb,40.769436,-73.962679,40.7127753,-74.0059728,,,,,,
276,crecenteb,redlianak,40.7127753,-74.0059728,43.653226,-79.3831843,,,,,,
277,TheBrandonMorse,oliverbcampbell,32.7766642,-96.7969879,41.8780025,-93.097702,,,,,,
278,oliverbcampbell,TheBrandonMorse,41.8780025,-93.097702,32.7766642,-96.7969879,,,,,,
279,PrisonPlanet,TheBrandonMorse,51.5073509,-0.1277583,32.7766642,-96.7969879,,,,,,
280,TheBrandonMorse,CathyYoung63,32.7766642,-96.7969879,40.0583238,-74.4056612,,,,,,
281,CathyYoung63,TheBrandonMorse,40.0583238,-74.4056612,32.7766642,-96.7969879,,,,,,
282,philhornshaw,brockwilbur,34.0522342,-118.2436849,34.0485672,-118.2358691,,,,,,
283,brockwilbur,philhornshaw,34.0485672,-118.2358691,34.0522342,-118.2436849,,,,,,
284,UnburntWitch,philhornshaw,38.898514,-77.010664,34.0522342,-118.2436849,,,,,,
285,philhornshaw,MckKirk,34.0522342,-118.2436849,0,0,,,,,,
286,MckKirk,philhornshaw,0,0,34.0522342,-118.2436849,,,,,,
287,brockwilbur,UnburntWitch,34.0485672,-118.2358691,38.898514,-77.010664,,,,,,
288,UnburntWitch,brockwilbur,38.898514,-77.010664,34.0485672,-118.2358691,,,,,,
289,brockwilbur,MckKirk,34.0485672,-118.2358691,0,0,,,,,,
290,MckKirk,brockwilbur,0,0,34.0485672,-118.2358691,,,,,,
291,RollingStone,terryscollins,40.7127753,-74.0059728,37.8271784,-122.2913078,,,,,,
292,ClaraJeffery,terryscollins,41.1398704,-112.0281318,37.8271784,-122.2913078,,,,,,
293,RollingStone,k_delamont,40.7127753,-74.0059728,51.253775,-85.323214,,,,,,
294,RollingStone,melsil,40.7127753,-74.0059728,0,0,,,,,,
295,Cernovich,oliverbcampbell,33.7174708,-117.8311428,41.8780025,-93.097702,,,,,,
296,oliverbcampbell,Cernovich,41.8780025,-93.097702,33.7174708,-117.8311428,,,,,,
297,Cernovich,k_delamont,33.7174708,-117.8311428,51.253775,-85.323214,,,,,,
298,Cernovich,PrisonPlanet,33.7174708,-117.8311428,51.5073509,-0.1277583,,,,,,
299,PrisonPlanet,Cernovich,51.5073509,-0.1277583,33.7174708,-117.8311428,,,,,,
300,oliverbcampbell,PrisonPlanet,41.8780025,-93.097702,51.5073509,-0.1277583,,,,,,
301,oliverbcampbell,redlianak,41.8780025,-93.097702,43.653226,-79.3831843,,,,,,
302,oliverbcampbell,CathyYoung63,41.8780025,-93.097702,40.0583238,-74.4056612,,,,,,
303,CathyYoung63,oliverbcampbell,40.0583238,-74.4056612,41.8780025,-93.097702,,,,,,
304,kyliesparks,UnburntWitch,0,0,38.898514,-77.010664,,,,,,
305,UnburntWitch,kyliesparks,38.898514,-77.010664,0,0,,,,,,
306,PrisonPlanet,HashtagGriswold,51.5073509,-0.1277583,40.5922619,-82.1905578,,,,,,
307,HashtagGriswold,CathyYoung63,40.5922619,-82.1905578,40.0583238,-74.4056612,,,,,,
308,CathyYoung63,HashtagGriswold,40.0583238,-74.4056612,40.5922619,-82.1905578,,,,,,
309,schwarz,ClaraJeffery,33.791638,-84.389488,41.1398704,-112.0281318,,,,,,
310,ClaraJeffery,schwarz,41.1398704,-112.0281318,33.791638,-84.389488,,,,,,
311,ClaraJeffery,k_delamont,41.1398704,-112.0281318,51.253775,-85.323214,,,,,,
312,PrisonPlanet,k_delamont,51.5073509,-0.1277583,51.253775,-85.323214,,,,,,
313,UnburntWitch,rjcc,38.898514,-77.010664,44.3148443,-85.6023643,,,,,,
314,rjcc,UnburntWitch,44.3148443,-85.6023643,38.898514,-77.010664,,,,,,
315,UnburntWitch,sarahmei,38.898514,-77.010664,37.7749295,-122.4194155,,,,,,
316,UnburntWitch,MckKirk,38.898514,-77.010664,0,0,,,,,,
317,MckKirk,UnburntWitch,0,0,38.898514,-77.010664,,,,,,
318,UnburntWitch,Deceptive_Games,38.898514,-77.010664,52.1306607,-3.7837117,,,,,,
319,UnburntWitch,pinkness,38.898514,-77.010664,38.898514,-77.010664,,,,,,
320,VentureBeat,rjcc,40.769436,-73.962679,44.3148443,-85.6023643,,,,,,
321,VentureBeat,jason_pontin,40.769436,-73.962679,42.3736158,-71.1097335,,,,,,
322,jason_pontin,VentureBeat,42.3736158,-71.1097335,40.769436,-73.962679,,,,,,
323,ClaraJeffery,KikkiPlanet,41.1398704,-112.0281318,0,0,,,,,,
324,KikkiPlanet,pinkness,0,0,38.898514,-77.010664,,,,,,
325,pinkness,KikkiPlanet,38.898514,-77.010664,0,0,,,,,,
326,KikkiPlanet,redlianak,0,0,43.653226,-79.3831843,,,,,,
327,redlianak,KikkiPlanet,43.653226,-79.3831843,0,0,,,,,,
328,sarahmei,rjcc,37.7749295,-122.4194155,44.3148443,-85.6023643,,,,,,
329,melsil,ClaraJeffery,0,0,41.1398704,-112.0281318,,,,,,
330,ClaraJeffery,melsil,41.1398704,-112.0281318,0,0,,,,,,
331,melsil,redlianak,0,0,43.653226,-79.3831843,,,,,,
332,jason_pontin,redlianak,42.3736158,-71.1097335,43.653226,-79.3831843,,,,,,
333,jason_pontin,CathyYoung63,42.3736158,-71.1097335,40.0583238,-74.4056612,,,,,,
334,CathyYoung63,jason_pontin,40.0583238,-74.4056612,42.3736158,-71.1097335,,,,,,
335,MckKirk,Deceptive_Games,0,0,52.1306607,-3.7837117,,,,,,
336,Deceptive_Games,redlianak,52.1306607,-3.7837117,43.653226,-79.3831843,,,,,,
337,redlianak,CathyYoung63,43.653226,-79.3831843,40.0583238,-74.4056612,,,,,,
338,CathyYoung63,redlianak,40.0583238,-74.4056612,43.653226,-79.3831843,,,,,,
