,A,Follows B,A_lat,A_lng,B_lat,B_lng,,user_screen_name,user_statuses_count,user_verified,lat,lng
49,stillgray,CathyYoung63,33.791638,-84.389488,40.0583238,-74.4056612,,sofakissen,83473,TRUE,52.5200066,13.404954
50,CathyYoung63,stillgray,40.0583238,-74.4056612,33.791638,-84.389488,,nberlat,171235,TRUE,41.8781136,-87.6297982
51,randileeharper,jessesingal,45.5230622,-122.6764815,42.3600825,-71.0588801,,HKesvani,3612,TRUE,51.5073509,-0.1277583
52,randileeharper,EmilyGorcenski,45.5230622,-122.6764815,38.0293059,-78.4766781,,stillgray,201735,TRUE,33.791638,-84.389488
53,EmilyGorcenski,randileeharper,38.0293059,-78.4766781,45.5230622,-122.6764815,,TheBeaverton,6811,TRUE,54.5259614,-105.2551187
54,randileeharper,ChrisCaesar,45.5230622,-122.6764815,NA,NA,,smenor,39143,TRUE,33.791638,-84.389488
55,randileeharper,sofakissen,45.5230622,-122.6764815,52.5200066,13.404954,,earleyedition,35670,TRUE,-33.8688197,151.2092955
56,randileeharper,nberlat,45.5230622,-122.6764815,41.8781136,-87.6297982,,MartinBelam,95699,TRUE,NA,NA
57,randileeharper,MartinBelam,45.5230622,-122.6764815,NA,NA,,mistertodd,39579,TRUE,-43.526192,172.630302
58,randileeharper,mistertodd,45.5230622,-122.6764815,-43.526192,172.630302,,mistertodd,39579,TRUE,-43.526192,172.630302
59,mistertodd,randileeharper,-43.526192,172.630302,45.5230622,-122.6764815,,pablod,80209,TRUE,40.6087346,-73.9153514
60,randileeharper,UnburntWitch,45.5230622,-122.6764815,38.898514,-77.010664,,crecenteb,37348,TRUE,40.7127753,-74.0059728
61,UnburntWitch,randileeharper,38.898514,-77.010664,45.5230622,-122.6764815,,TorraineWalker,26089,TRUE,33.7489954,-84.3879824
62,randileeharper,KikkiPlanet,45.5230622,-122.6764815,0,0,,crecenteb,37348,TRUE,40.7127753,-74.0059728
63,randileeharper,rjcc,45.5230622,-122.6764815,44.3148443,-85.6023643,,crecenteb,37348,TRUE,40.7127753,-74.0059728
64,randileeharper,sarahmei,45.5230622,-122.6764815,37.7749295,-122.4194155,,crecenteb,37348,TRUE,40.7127753,-74.0059728
65,sarahmei,randileeharper,37.7749295,-122.4194155,45.5230622,-122.6764815,,TheBrandonMorse,166908,TRUE,32.7766642,-96.7969879
66,MrNashington,BreitbartTech,NA,NA,34.0522342,-118.2436849,,AggroWill,15421,TRUE,40.7127753,-74.0059728
67,BreitbartTech,MrNashington,34.0522342,-118.2436849,NA,NA,,philhornshaw,78611,TRUE,34.0522342,-118.2436849
68,MrNashington,RLewisReports,NA,NA,33.791638,-84.389488,,brockwilbur,45023,TRUE,34.0485672,-118.2358691
69,RLewisReports,MrNashington,33.791638,-84.389488,NA,NA,,terryscollins,14037,TRUE,37.8271784,-122.2913078
