Id,Label,timeset,lat,lng,polarity,followers,friends,listed,status,polarity_boolean,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum
steeldragondown,steeldragondown,,47.505175,-81.913305,0.1,71,52,2,13835,FALSE,1,1,2,1,1,2,18,0.108571,0.197111,109288,18,0.000172,3,238
wybetter,wybetter,,30.438256,-122.411031,0.1,441,756,44,37852,FALSE,1,1,2,1,1,2,17,0.115385,0.209605,103554,18,0.000172,3,237
ZulaQi,ZulaQi,,33.791638,-122.411031,0.1,3709,233,451,249598,FALSE,1,1,2,1,1,2,16,0.123188,0.228278,97818,18,0.000172,3,236
foxgrrl,foxgrrl,,36.778261,-84.389488,0.183333,1969,3361,68,14515.5,FALSE,1,2,3,1,2,3,15,0.132231,0.269889,92080,18,0.000172,3,235
ireneista,ireneista,,33.791638,-82.998794,0.1,1486,2091,83,120939,FALSE,1,1,2,1,1,2,14,0.133333,0.232254,80584,18,0.000099,3,234
hazelnutfondant,hazelnutfondant,,33.791638,-82.998794,0.1,81,632,12,8110,FALSE,1,1,2,1,1,2,13,0.142857,0.244626,74841,18,0.00011,3,233
mhoye,mhoye,,33.791638,-82.998794,0.1,2131,371,143,54327,FALSE,1,1,2,1,1,2,12,0.153846,0.258601,69096,18,0.000119,3,232
Meekaed,Meekaed,,45.147345,-82.998794,0.1,33,40,6,4759,FALSE,1,1,2,1,1,2,11,0.166667,0.274534,63349,18,0.000127,3,231
sasugakirin,sasugakirin,,33.791638,-81.913305,0.1,681,439,15,68120,FALSE,1,1,2,1,1,2,10,0.181818,0.292897,57600,18,0.000134,3,230
chipsalz,chipsalz,,37.774929,-72.387502,0.1,606,503,65,9737,FALSE,1,1,2,1,1,2,9,0.2,0.31433,51849,18,0.00014,3,229
www_ora_tion_ca,www_ora_tion_ca,,43.653226,-122.411031,0.1,271,299,18,14457,FALSE,1,1,2,1,1,2,8,0.222222,0.339732,46096,18,0.000145,3,228
elbDragon,elbDragon,,45.42153,-72.387502,0.1,93,114,0,7569,FALSE,1,1,2,1,1,2,7,0.25,0.370408,40341,18,0.000149,3,227
gvwilson,gvwilson,,37.293082,-82.998794,0.1,3780,43,264,41960,FALSE,1,1,2,1,1,2,6,0.285714,0.408333,34584,18,0.000152,3,226
utterances,utterances,,43.653226,-122.411031,0.1,82,57,9,5481,FALSE,1,1,2,1,1,2,5,0.333333,0.456667,28825,18,0.000155,3,225
msmorul,msmorul,,38.907192,-81.913305,0.1,183,217,10,4824,FALSE,1,1,2,1,1,2,4,0.4,0.520833,23064,18,0.000158,3,224
DrGoldfire,DrGoldfire,,32.929867,-72.387502,0.1,43,153,4,2198,FALSE,1,1,2,1,1,2,3,0.5,0.611111,17301,18,0.00016,3,223
UnoriginalJohn,UnoriginalJohn,,45.42153,-122.411031,0.1,122,795,4,25043,FALSE,1,1,2,1,1,2,2,0.666667,0.75,11536,18,0.000162,3,222
ianfoxdouglas,ianfoxdouglas,,33.791638,-82.998794,0.1,124,145,13,3057,FALSE,1,1,2,1,1,2,1,1,1,5769,18,0.000163,3,221
theory,theory,,45.523062,-122.411031,0.1,2161,924,202,47048,FALSE,1,0,1,1,0,1,0,0,0,0,18,0.000165,3,220
AlisonEDuck,AlisonEDuck,,38.989697,103.6,-0.177778,85,373,3,1181,TRUE,1,1,2,1,1,2,88,0.055081,0.06163,364707.833333,18,0.000085,3,381
TheBrianest,TheBrianest,,40.712775,-122.411031,-0.177778,941,1442,38,60126,TRUE,1,1,2,1,1,2,87,0.058284,0.065895,364678.833333,18,0.000098,3,381
gamergateblogde,gamergateblogde,,51.165691,-84.389488,0.000863,,1126,43,24148,FALSE,3,17,20,3,18,21,93,0.089735,0.181768,72682.078816,3,0.000185,3,381
nimajnebnhaz,nimajnebnhaz,,44.07,-81.913305,0,20,69,0,379,TRUE,1,1,2,1,1,2,96,0.066236,0.09391,5753.836274,3,0.000035,3,381
DBums7,DBums7,,33.791638,-72.387502,0,65,325,0,4448,TRUE,1,1,2,1,1,2,95,0.070929,0.10556,5724.836274,3,0.000056,3,381
DieFlanierende,DieFlanierende,,51.717461,-72.387502,0,3018,2910,229,55790,TRUE,2,1,3,2,1,3,94,0.076336,0.120927,17066.412879,3,0.000104,3,381
madirishyank1,madirishyank1,,40.78306,-82.998794,0,6,74,0,72,TRUE,1,1,2,1,1,2,93,0.082639,0.142365,17037.412879,3,0.000114,3,381
FreieBrause,FreieBrause,,33.791638,-84.389488,0.2,92,223,4,289,FALSE,2,1,3,2,2,4,96,0.070496,0.107125,6625.574445,3,0.000128,3,381
turner666999,turner666999,,33.791638,-122.411031,0.133333,376,1519,9,31663,FALSE,2,2,4,3,2,5,95,0.075838,0.123313,12273.574445,3,0.000157,3,381
Logaedo1966,Logaedo1966,,44.07,-82.998794,-0.00625,359,592,5,10169,TRUE,4,3,7,4,3,7,94,0.081572,0.142817,52029.143363,3,0.000235,3,381
ThatGuyY2M,ThatGuyY2M,,33.68381,-122.411031,-0.016667,261,375,18,17326,TRUE,3,3,6,3,3,6,94,0.082624,0.147391,77961.770784,3,0.000271,3,381
Bushkiliki,Bushkiliki,,44.07,-72.387502,-0.169531,852,1016,63,31511,TRUE,10,10,20,10,10,20,93,0.089951,0.18202,157247.204397,3,0.000615,3,381
naurahv67,naurahv67,,33.791638,-81.913305,0,362,0,1,784,TRUE,1,1,2,1,1,2,94,0.077508,0.125486,1360.594553,3,0.000078,3,381
Kektimusprime,Kektimusprime,,41.667257,-82.998794,0.055714,184,633,7,7490,FALSE,5,5,10,5,5,10,93,0.084014,0.149225,86779.374231,3,0.000324,3,381
leojones8675,leojones8675,,44.07,-82.998794,0.08,1550,3844,50,55634,FALSE,3,4,7,3,4,7,92,0.08937,0.170272,69659.90678,3,0.00022,3,381
Smackfacemcgee,Smackfacemcgee,,44.07,-81.913305,-0.064931,1506,2544,39,58491,TRUE,2,2,4,2,2,4,94,0.081126,0.139981,11619.055983,3,0.000098,3,381
TowerOfShandor,TowerOfShandor,,44.07,-122.411031,0.066667,117,158,1,7690,FALSE,2,2,4,2,2,4,94,0.083225,0.147908,3813.100112,3,0.000108,3,381
drunkenalpaca,drunkenalpaca,,44.07,-72.387502,0.08119,539,548,36,77237,FALSE,6,7,13,7,7,14,93,0.089193,0.173776,110313.886419,3,0.00036,3,381
DakshManhas,DakshManhas,,33.791638,-72.387502,0,141,674,0,340,TRUE,1,1,2,1,1,2,94,0.081281,0.141159,816.346097,3,0.000075,3,381
TheHoboSonic,TheHoboSonic,,33.791638,-122.411031,-0.0725,512,1247,16,13830,TRUE,4,4,8,4,4,8,93,0.08841,0.171823,55284.171124,3,0.000227,3,381
Nyaranyar,Nyaranyar,,39.739236,-81.913305,0.238889,1130,2049,159,81514,FALSE,6,6,12,6,6,12,92,0.089786,0.175223,187452.158322,3,0.000404,3,381
torpedoladle,torpedoladle,,48.790447,-122.411031,-0.199063,80,43,1,9010,TRUE,5,4,9,5,4,9,93,0.085863,0.157133,195831.947276,3,0.000293,3,381
kritfem,kritfem,,51.165691,-82.998794,0,1270,955,41,7861,TRUE,1,1,2,1,1,2,95,0.077281,0.126512,3577.704,3,0.000088,3,381
MsFraeulein,MsFraeulein,,33.791638,-81.913305,-0.225,61,80,2,2402,TRUE,4,4,8,4,4,8,94,0.083748,0.150714,40575.754801,3,0.000284,3,381
Spiro20004,Spiro20004,,52.393918,-81.913305,0,94,522,0,1439,TRUE,1,1,2,1,1,2,94,0.081892,0.143795,1280.504101,3,0.000071,3,381
EOrr321,EOrr321,,33.791638,-72.387502,0.08125,290,1168,45,48953,FALSE,11,11,22,11,11,22,93,0.089191,0.177713,204415.371301,3,0.000865,3,381
Veroan_RS,Veroan_RS,,52.370216,-122.411031,0.05,1501,1505,99,53630,FALSE,1,1,2,1,1,2,96,0.067506,0.097732,11424.509957,3,0.000093,3,381
Thedoyle101,Thedoyle101,,53.349349,-122.411031,0,87,60,2,787,TRUE,1,1,2,1,1,2,95,0.072388,0.110602,11395.509957,3,0.000105,3,381
One___And_Done,One___And_Done,,48.428421,-81.913305,0,92,164,6,4318,TRUE,1,1,2,1,1,2,94,0.078031,0.127954,11366.509957,3,0.000115,3,381
TooUnFunny,TooUnFunny,,49.355826,-122.411031,0.033333,10,138,0,843,FALSE,6,6,12,6,6,12,93,0.084629,0.153143,59356.813888,3,0.000437,3,381
sjslev,sjslev,,44.07,-81.913305,0.1125,28,222,0,3154,FALSE,2,2,4,2,2,4,92,0.085585,0.154443,15652.091858,3,0.000113,3,381
TheOpulentAmish,TheOpulentAmish,,37.09024,-122.411031,-0.019048,,374,3,4501.666667,TRUE,1,2,3,1,2,3,95,0.071574,0.108383,28516,3,0.000054,3,381
0451Jim,0451Jim,,-25.274398,103.6,0,503,903,7,2826,TRUE,1,1,2,1,1,2,96,0.06771,0.098951,11532.354247,3,0.000049,3,381
TheFree_Lance,TheFree_Lance,,33.89993,-122.411031,0,795,422,92,42513,TRUE,1,1,2,1,1,2,95,0.07262,0.112178,11503.354247,3,0.000067,3,381
RenTMB,RenTMB,,61.92411,-81.913305,0,211,211,13,8706,TRUE,1,1,2,1,1,2,94,0.078298,0.13009,11474.354247,3,0.000083,3,381
Undrgrnd_Geek,Undrgrnd_Geek,,44.07,-122.411031,0.0375,432,344,4,2006,FALSE,2,2,4,2,2,4,95,0.075102,0.120249,19217.397535,3,0.000127,3,381
Valiantthor2,Valiantthor2,,52.454933,-122.411031,0,456,629,7,29299,TRUE,2,1,3,2,1,3,94,0.07518,0.117572,15715.104549,3,0.000102,3,381
admrlcrnch,admrlcrnch,,32.312642,103.6,0,429,309,33,17066,TRUE,1,1,2,1,1,2,94,0.07663,0.122396,561.987106,3,0.000106,3,381
JCC_HombreOmega,JCC_HombreOmega,,23.634501,-82.998794,-0.033333,688,3091,22,12138,TRUE,2,2,4,2,2,4,92,0.085004,0.15147,33330.569366,3,0.000163,3,381
ReikLehmann,ReikLehmann,,53.567829,-81.913305,0,35,99,0,964,TRUE,1,1,2,1,1,2,94,0.078613,0.129418,348.595416,3,0.000095,3,381
TeensieFreedom,TeensieFreedom,,33.791638,-81.913305,0,103,378,4,14579,TRUE,1,1,2,1,1,2,94,0.081603,0.142412,1339.649685,3,0.000095,3,381
MistakenGravely,MistakenGravely,,33.791638,-122.411031,-0.12037,17,34,0,1895,TRUE,3,3,6,3,3,6,95,0.078105,0.131914,27966.477022,3,0.000226,3,381
transcend_honk,transcend_honk,,33.791638,-122.411031,0,401,540,5,9355,TRUE,1,1,2,1,1,2,94,0.078076,0.12894,3081.009514,3,0.00009,3,381
PunishedDoggo,PunishedDoggo,,33.791638,-81.913305,0.058667,123,465,1,3645,FALSE,5,5,10,5,5,10,93,0.084682,0.154473,183780.760455,3,0.000344,3,381
hidekika,hidekika,,33.791638,-82.998794,0,108,132,0,3000,TRUE,2,2,4,2,2,4,95,0.074893,0.118685,68501.473827,3,0.000166,3,381
PonyBoy636,PonyBoy636,,33.791638,-81.913305,0,363,1009,13,16011,TRUE,1,1,2,1,1,2,94,0.080901,0.138688,34236.473827,3,0.000096,3,381
Lovie1905,Lovie1905,,33.791638,-82.998794,0,4,21,0,91,TRUE,1,1,2,1,1,2,94,0.076003,0.121018,5471.070561,3,0.000097,3,381
DeplorableKC,DeplorableKC,,37.09024,-72.387502,0,48,67,0,1716,TRUE,2,2,4,2,2,4,93,0.082248,0.142551,6030.210258,3,0.000157,3,381
SuitablyBored,SuitablyBored,,-25.747868,-81.913305,-0.026667,111,62,6,13931.5,TRUE,3,3,6,3,3,6,94,0.084923,0.156754,15980.067006,3,0.000199,3,381
malkitek,malkitek,,-28.861852,-82.998794,0,152,137,0,14135,TRUE,2,2,4,2,2,4,93,0.084324,0.151979,24450.042221,3,0.000141,3,381
DishonoredSushi,DishonoredSushi,,33.791638,-72.387502,0.031424,35,56,0,4071,FALSE,12,12,24,14,13,27,94,0.084535,0.155922,211729.23102,3,0.000685,3,381
SerLonergan,SerLonergan,,53.480759,-81.913305,0.066667,155,333,17,10183,FALSE,2,2,4,2,2,4,93,0.085343,0.155121,22995.376729,3,0.000141,3,381
bassman9000,bassman9000,,37.827178,-72.387502,0,127,563,6,8223,TRUE,1,1,2,1,1,2,94,0.079855,0.135192,553.985752,3,0.000078,3,381
4_Posterity,4_Posterity,,53.933271,103.6,0.05039,416,614,24,16267,FALSE,9,9,18,9,9,18,92,0.089987,0.177123,169375.720681,3,0.000556,3,381
Pynewacket,Pynewacket,,33.791638,-81.913305,0,19,98,0,1235,TRUE,2,2,4,2,2,4,93,0.083915,0.148952,6269.032535,3,0.000135,3,381
klaatu,klaatu,,44.07,-82.998794,0,1834,752,638,184947,TRUE,2,2,4,2,2,4,95,0.077544,0.129164,17961.680453,3,0.000134,3,381
SonOfALovelyMom,SonOfALovelyMom,,44.07,-81.913305,0,185,761,9,11417,TRUE,1,1,2,1,1,2,94,0.077792,0.126945,6240.265723,3,0.000083,3,381
endlessathree,endlessathree,,33.791638,-72.387502,0,6,53,0,103,TRUE,1,1,2,1,1,2,93,0.084346,0.151191,6211.265723,3,0.000096,3,381
VoyceOfAnAngel,VoyceOfAnAngel,,36.161175,-122.411031,-0.029353,455,735,17,7427,TRUE,18,12,30,19,16,35,92,0.091517,0.183371,247733.52539,3,0.00112,3,381
MiaCassinelli,MiaCassinelli,,33.791638,-82.998794,0.158333,596,928,32,16351,FALSE,2,2,4,2,2,4,93,0.087296,0.164472,27197.429872,3,0.000165,3,381
Bashkaai,Bashkaai,,32.31994,-72.387502,-0.125,1267,2472,57,34656.5,TRUE,0,1,1,0,1,1,94,0.080604,0.137495,0,3,0.000026,3,529
TheExtremista,TheExtremista,,33.791638,-122.411031,0.166667,1526,774,123,125839,FALSE,2,2,4,2,2,4,93,0.087655,0.167184,6406.890871,3,0.000087,3,381
GulagPuppo,GulagPuppo,,44.07,-82.998794,0.056746,835,1394,7,3244,FALSE,2,3,5,2,3,5,94,0.077208,0.124325,22247.507602,3,0.000132,3,381
kxu65,kxu65,,40.338254,-82.998794,0,1010,4143,54,46910,TRUE,3,3,6,3,3,6,95,0.07532,0.121164,70072.564452,3,0.000246,3,381
crash_matrix,crash_matrix,,29.424122,-72.387502,0.041463,2158,872,205,157127,FALSE,8,6,14,8,6,14,93,0.086672,0.162462,134594.783254,3,0.000506,3,381
The_Andredal,The_Andredal,,60.472024,-122.411031,-0.10015,1384,552,43,26315,TRUE,14,12,26,14,12,26,93,0.087857,0.169517,431977.777405,3,0.00085,3,381
sharkydog865,sharkydog865,,33.791638,-81.913305,0.066667,1134,988,5,8804,FALSE,3,5,8,4,5,9,92,0.085228,0.151584,44055.427186,3,0.00016,3,381
PrivacyPl0x,PrivacyPl0x,,33.791638,-81.913305,0.5,329,850,7,7598,FALSE,1,0,1,1,0,1,0,0,0,0,3,0.000053,3,303
EonBlack,EonBlack,,42.43472,-72.387502,0,192,1117,2,2550,TRUE,1,1,2,1,1,2,95,0.077999,0.127312,1036.897471,3,0.000078,3,381
Ridnarhtim,Ridnarhtim,,33.791638,-81.913305,-0.037037,1333,599,32,67962,TRUE,3,3,6,3,3,6,93,0.083857,0.148301,16899.727645,3,0.000216,3,381
HotSolanum,HotSolanum,,33.791638,-82.998794,-0.047917,671,246,11,19301,TRUE,7,8,15,7,8,15,94,0.084537,0.155411,82986.306259,3,0.000422,3,381
unvarnishedvoid,unvarnishedvoid,,33.791638,-122.411031,-0.232955,352,321,24,19861,TRUE,3,2,5,3,2,5,94,0.078529,0.12945,15482.195507,3,0.000165,3,381
LunaticHell,LunaticHell,,33.791638,-82.998794,0.158333,239,378,5,9865,FALSE,3,3,6,3,3,6,93,0.08502,0.15369,68447.552332,3,0.000217,3,381
BradyGodhand,BradyGodhand,,37.673857,-72.387502,-0.4,697,1496,35,75411,TRUE,0,1,1,0,1,1,94,0.080319,0.136332,0,3,0.000026,3,530
RabHent,RabHent,,33.791638,-81.913305,-0.055,371,838,7,11546,TRUE,7,8,15,7,8,15,92,0.091087,0.180882,124056.532801,3,0.00049,3,381
Anarchangel_,Anarchangel_,,44.07,-72.387502,-0.082955,2930,946,40,33363,TRUE,4,3,7,4,3,7,93,0.088744,0.173205,16720.711414,3,0.000211,3,381
HdHammer865,HdHammer865,,44.07,-82.998794,0.014899,1553,1697,249,97103,FALSE,10,7,17,10,8,18,93,0.090797,0.183331,163332.082081,3,0.00057,3,381
pnt_pictures,pnt_pictures,,51.048615,-81.913305,0.075,778,2002,26,13310,FALSE,0,1,1,0,1,1,94,0.080037,0.134608,0,3,0.000026,3,532
MMLoneWanderer,MMLoneWanderer,,45.1,-122.411031,0.075,235,414,0,16760,FALSE,1,1,2,1,1,2,93,0.086985,0.16264,5677,3,0.000048,3,531
GoGamerGate2015,GoGamerGate2015,,33.791638,-84.389488,0.075,452,580,6,4513,FALSE,1,1,2,1,1,2,94,0.076126,0.120987,5944.551727,3,0.000065,3,381
luzariuslive,luzariuslive,,44.07,-82.998794,0.067911,844,149,55,28174,FALSE,1,1,2,1,1,2,93,0.082393,0.142456,5915.551727,3,0.000081,3,381
