,user_id,in_reply_to_user_id
1881,2738046367,2202152632
1886,9.26E+17,56768257
1887,9.26E+17,56768257
1897,1149694885,7.39E+17
1919,7.64E+17,7.64E+17
1923,9.14E+17,2790105439
1926,7.64E+17,2202152632
1928,3219836438,7.48E+17
1943,16106584,7.68E+17
1953,996957625,996957625
1968,1102317907,1102317907
1969,7.41E+17,2718198130
1970,527654411,517004655
1975,9.15E+17,2391634459
1978,283043739,2343922427
1980,606357050,283043739
1991,547670327,4721661615
1993,16267395,16267395
2000,3235860921,14591218
2011,7.64E+17,190357821
2012,7.59E+17,7.59E+17
2014,7.59E+17,7.59E+17
2032,92149322,42345999
2036,2391634459,2399017345
2038,3430919644,2896835628
2039,9.18E+17,42345999
2045,21135142,42345999
2065,66814589,66814589
2066,7.64E+17,1635572390
2078,27049695,27049695
2129,7.74E+17,8.06E+17
2139,28088585,69373980
2153,2827131879,19643874
2167,1908857197,7.60E+17
2201,115151962,7.39E+17
2204,308881240,308881240
2207,308881240,308881240
2217,2767148298,29971417
2243,9.27E+17,18195553
2248,14299885,14299885
2253,16364644,359174241
2264,281431213,2411290603
2275,2411290603,8.04E+17
2280,16841066,2845913776
2286,281431213,8.04E+17
2290,2871006265,2321698795
2320,22002953,126171202
2322,488911358,43378629
2325,281431213,281431213
2333,14299885,54666674
2339,3132514522,3132514522
2366,2871006265,2871006265
2368,2871006265,2423425960
2375,281431213,2243877547
2402,8.86E+17,27577576
2403,2864633105,2458721665
2416,2243877547,281431213
2424,2790105439,4571328341
2440,281431213,281431213
2446,8.80E+17,14260960
2457,393756935,393756935
2485,281431213,2243877547
2495,4330691608,4330691608
2499,281431213,2243877547
2501,4330691608,4330691608
2505,4330691608,54666674
2508,2810864653,2305353847
2510,2829039293,2829039293
2513,9.09E+17,8.93E+17
2516,2829039293,2829039293
2520,9.02E+17,27000730
2524,8.02E+17,3091766863
2525,8.04E+17,2243877547
2527,2829039293,2829039293
2532,2829039293,2829039293
2539,177052107,177052107
2549,4165773914,4165773914
2551,733469154,594175899
2553,552688679,54666674
2554,4165773914,4165773914
2557,4165773914,4165773914
2569,4165773914,3044949722
2570,2887629187,274294204
2574,7.39E+17,8.98E+17
2583,2901809481,2901809481
2585,3044949722,3044949722
2588,3536963279,3063615107
2593,4165773914,3044949722
2613,3044949722,4165773914
2626,2305353847,1694222593
2628,2871006265,2871006265
2629,9.27E+17,9.27E+17
2633,192000027,3071076953
2645,9.27E+17,9.27E+17
2646,9.27E+17,106785598
2650,2871006265,613899472
2651,2833719035,2833719035
2655,106785598,9.27E+17
2657,9.27E+17,4571328341
2667,393756935,393756935
2672,2838143051,209189571
2673,264766887,945450367
2676,412384946,412384946
2679,393756935,393756935
2681,9.27E+17,9.27E+17
2686,9.27E+17,412384946
2693,9.27E+17,7.39E+17
2695,996957625,996957625
2703,9.27E+17,412384946
2724,2457172872,24785389
2734,814661857,594594161
2742,269816591,88001676
2744,182692702,238055499
2747,64678757,54666674
2750,1166107657,424806929
2756,16106584,16106584
2758,8.09E+17,9.21E+17
2767,24785389,24785389
2771,207323983,21268897
2775,16106584,54666674
2783,193698236,7.39E+17
2794,9.14E+17,604940737
2800,7.05E+17,27577576
2810,426525328,426525328
2811,426525328,3413756493
2814,4571328341,4571328341
2829,3025349309,289741323
2841,1410554492,8.06E+17
2862,8.55E+17,8.55E+17
2864,569482666,38021361
2869,426525328,88001676
2876,2423425960,2423425960
2883,9.27E+17,5402612
2889,8.27E+17,7.39E+17
2900,87750148,27577576
2904,4839141805,14173315
2911,9.27E+17,25073877
2919,1000078238,1151060460
2924,2829039293,594594161
2928,1151060460,1000078238
2978,175958307,175958307
2998,3422978644,5715752
3007,8.00E+17,457984599
3008,400917051,8.73E+17
3021,3422978644,51590580
3034,471283906,91470339
3045,2322768194,2951963678
